"","x"
"358","TCGA-95-7944-01A-11D"
"359","TCGA-95-7947-01A-11D"
"360","TCGA-95-8039-01A-11D"
"361","TCGA-95-8494-01A-11D"
"362","TCGA-95-A4VK-01A-11D"
"363","TCGA-95-A4VN-01A-11D"
"364","TCGA-95-A4VP-01A-21D"
"365","TCGA-97-7546-01A-11D"
"366","TCGA-97-7547-01A-11D"
"367","TCGA-97-7552-01A-11D"
"368","TCGA-97-7553-01A-21D"
"369","TCGA-97-7554-01A-11D"
"370","TCGA-97-7937-01A-11D"
"371","TCGA-97-7938-01A-11D"
"372","TCGA-97-7941-01A-11D"
"373","TCGA-97-8171-01A-11D"
"374","TCGA-97-8172-01A-11D"
"375","TCGA-97-8174-01A-11D"
"376","TCGA-97-8175-01A-11D"
"377","TCGA-97-8176-01A-11D"
"378","TCGA-97-8177-01A-11D"
"379","TCGA-97-8179-01A-11D"
"380","TCGA-97-8547-01A-11D"
"381","TCGA-97-8552-01A-11D"
"382","TCGA-97-A4LX-01A-11D"
"383","TCGA-97-A4M0-01A-11D"
"384","TCGA-97-A4M1-01A-11D"
"385","TCGA-97-A4M2-01A-12D"
"386","TCGA-97-A4M3-01A-11D"
"387","TCGA-97-A4M5-01A-11D"
"388","TCGA-97-A4M6-01A-11D"
"389","TCGA-97-A4M7-01A-11D"
"390","TCGA-99-7458-01A-11D"
"391","TCGA-99-8025-01A-11D"
"392","TCGA-99-8028-01A-11D"
"393","TCGA-99-8032-01A-11D"
"394","TCGA-99-8033-01A-11D"
"395","TCGA-99-AA5R-01A-11D"
"396","TCGA-J2-8192-01A-11D"
"397","TCGA-J2-8194-01A-11D"
"398","TCGA-J2-A4AD-01A-11D"
"399","TCGA-J2-A4AE-01A-21D"
"400","TCGA-J2-A4AG-01A-11D"
"401","TCGA-L4-A4E5-01A-11D"
"402","TCGA-L9-A443-01A-12D"
"403","TCGA-L9-A444-01A-21D"
"404","TCGA-L9-A50W-01A-12D"
"405","TCGA-L9-A5IP-01A-21D"
"406","TCGA-L9-A743-01A-43D"
"407","TCGA-L9-A7SV-01A-11D"
"408","TCGA-L9-A8F4-01A-11D"
"409","TCGA-MN-A4N1-01A-11D"
"410","TCGA-MN-A4N4-01A-12D"
"411","TCGA-MN-A4N5-01A-11D"
"412","TCGA-MP-A4SV-01A-11D"
"413","TCGA-MP-A4SW-01A-21D"
"414","TCGA-MP-A4SY-01A-21D"
"415","TCGA-MP-A4T2-01A-11D"
"416","TCGA-MP-A4T7-01A-11D"
"417","TCGA-MP-A4T8-01A-11D"
"418","TCGA-MP-A4T9-01A-11D"
"419","TCGA-MP-A4TA-01A-21D"
"420","TCGA-MP-A4TC-01A-11D"
"421","TCGA-MP-A4TE-01A-22D"
"422","TCGA-MP-A4TF-01A-11D"
"423","TCGA-MP-A4TH-01A-31D"
"424","TCGA-MP-A4TI-01A-21D"
"425","TCGA-MP-A4TK-01A-11D"
"426","TCGA-MP-A5C7-01A-11D"
"427","TCGA-NJ-A4YF-01A-12D"
"428","TCGA-NJ-A4YG-01A-22D"
"429","TCGA-NJ-A4YI-01A-11D"
"430","TCGA-NJ-A4YP-01A-11D"
"431","TCGA-NJ-A4YQ-01A-11D"
"432","TCGA-NJ-A55A-01A-11D"
"433","TCGA-NJ-A55R-01A-11D"
"434","TCGA-NJ-A7XG-01A-12D"
"435","TCGA-O1-A52J-01A-11D"
"436","TCGA-S2-AA1A-01A-12D"
"437","TCGA-05-5420-01A-01D"
"438","TCGA-38-4629-01A-02D"
"439","TCGA-38-4630-01A-01D"
"440","TCGA-50-6597-01A-11D"
"441","TCGA-75-6206-01A-11D"
"442","TCGA-95-7948-01A-11D"
